Object,Band,mag_5kpc,e_5kpc,magerr_5kpc,zerr_5kpc,npix_5kpc,mag_10kpc,e_10kpc,magerr_10kpc,zerr_10kpc,npix_10kpc,mag_15kpc,e_15kpc,magerr_15kpc,zerr_15kpc,npix_15kpc,mag_30kpc,e_30kpc,magerr_30kpc,zerr_30kpc,npix_30kpc
SN2008hj,FUV,20.472610680087058,0.8103139021595297,0.8098731995907781,0.02672116422612575,46,19.25704509131145,0.14880225755468643,0.14853268976811887,0.008952760670261892,171,18.518625151328017,0.25902147344560394,0.2588774217669041,0.00863737258963401,367,17.288118377674962,1.017481791747958,1.0172908888146648,0.019708984583281422,1443
SN2008hj,NUV,20.255687576047194,0.08768722982898394,0.08567032724801694,0.018698804889584163,46,18.916302801744,0.6155972216569994,0.6155073451867229,0.01051890360299478,171,18.13018279000955,1.0220337149345933,1.0219778812603917,0.010682915216669048,367,16.912755176357884,1.7272443741736896,1.7271646767167315,0.016592396350413416,1443
SN2006ej,FUV,-99,-99,-99,-99,136,-99,-99,-99,-99,528,-99,-99,-99,-99,1173,-99,-99,-99,-99,4654
SN2006ej,NUV,-99,-99,-99,-99,136,-99,-99,-99,-99,528,-99,-99,-99,-99,1173,nan,0.7635732644177422,0.7594122689874951,0.07960612944259725,4654
SN2006gt,FUV,25.54769919594968,2.486591487784278,2.486591487784278,0.0,33,nan,1.966893132710135,1.9563082539159973,0.20378079193690088,121,23.060120990846848,1.2855387075458242,1.2855137745028375,0.008006507481797058,262,21.870798292584382,0.5388691552743385,0.5386857104625615,0.014059582124820677,1027
SN2006gt,NUV,nan,1.7207406860833245,1.7207406860833245,0.0,33,nan,1.1099358523183924,1.1096855775901395,0.02356936889682911,121,23.146964290930335,0.555942041353141,0.5559235504270554,0.004534250155713767,262,21.27605514637704,0.23775065826266015,0.2357159407171723,0.031038215092796785,1027
SN2007mm,FUV,nan,4.180593924848067,4.180593924848067,0.0,16,nan,1.9907307979789481,1.9907307979789481,0.0,61,24.616235399413927,1.621109725714973,1.6209520109171058,0.02261241056291701,132,23.396325135336212,0.8600492334801129,0.8600384978073449,0.00429724318783095,505
SN2007mm,NUV,25.15238871678998,1.8503708042456133,1.8503708042456133,0.0,16,23.57081990458969,1.1304154260855046,1.1304154260855046,0.0,61,22.43420664311739,0.6306988721236935,0.6306381684114309,0.00875030518180802,132,21.58901825940128,0.00736107229153691,0.00718282855750861,0.0016100804932273525,505
SN2005ir,FUV,-99,-99,-99,-99,15,-99,-99,-99,-99,46,-99,-99,-99,-99,105,-99,-99,-99,-99,395
SN2005ir,NUV,-99,-99,-99,-99,15,23.886911235631842,0.4214098966135317,0.4214098966135317,0.0,46,23.32132252986118,0.40544593541259466,0.40544593541259466,0.0,105,23.882324463885844,0.08533404205618465,0.06801764355307699,0.051531533056306936,395
SN2005hj,FUV,23.28437633458407,2.02715108744783,2.02715108744783,0.0,24,22.66308813361169,1.5148169417827675,1.5148169417827675,0.0,78,22.640140857215307,1.1981571145691199,1.1981273884589791,0.0084399180722173,173,22.60214966169878,0.6357293235146115,0.6356569679528062,0.009591239199953857,656
SN2005hj,NUV,23.190964133237664,1.44535852082667,1.44535852082667,0.0,24,22.673036415087537,1.073202612942936,1.073202612942936,0.0,78,22.2235515230624,0.7524964134319821,0.7524941312906157,0.0018532677027787916,173,22.268317787300184,0.24472683360168604,0.24470857677843727,0.0029892366549017844,656
