cubename,zalpha,zbeta,zoiii,zobs,zhelio,ezhelio,zcmb
SN2008hj,0.037595,0.037627,0.037691,0.037638,0.037734,0.000196,0.036546
SN2006ej,0.020473,0.020474,0.020415,0.020454,0.020550,0.000193,0.019424
SN2006et,0.022593,0.022627,0.022482,0.022567,0.022655,0.000204,0.021655
SN2006gt,0.045518,0.045062,0.045052,0.045211,0.045307,0.000301,0.044159
SN2007mm,0.066398,0.066483,0.066537,0.066473,0.066569,0.000203,0.065420
SN2006hx,0.045504,0.045496,0.045458,0.045486,0.045579,0.000192,0.044472
SN2005ir,0.076178,0.076310,0.076280,0.076256,0.076347,0.000202,0.075214
SN2005hj,0.057370,0.057414,0.057423,0.057402,0.057497,0.000192,0.056421
SN2007ol,0.055984,0.056107,0.056168,0.056086,0.056182,0.000212,0.055139
CSP13aad,0.086682,0.086824,0.086696,0.086734,0.086760,0.000203,0.086511
